Date,Open,High,Low,Close,Adj Close,Volume
2017-11-24,29778.0,29818.0,29778.0,29786.0,29786.0,0
2017-11-27,29660.0,29878.0,29652.0,29671.0,29671.0,0
2017-11-28,29900.0,29900.0,29771.0,29912.0,29912.0,0
2017-11-29,29998.0,29998.0,29977.0,29975.0,29975.0,0
2017-11-30,29994.0,30082.0,29994.0,29999.0,29999.0,0
2017-12-01,30129.0,30235.0,30129.0,30116.0,30116.0,0
2017-12-04,30245.0,30245.0,30244.0,30217.0,30217.0,0
2017-12-05,30115.0,30115.0,30029.0,30135.0,30135.0,0
2017-12-06,30146.0,30146.0,29915.0,30178.0,30178.0,0
2017-12-07,29989.0,29989.0,29865.0,30004.0,30004.0,0
2017-12-08,30169.0,30169.0,30086.0,30178.0,30178.0,0
2017-12-11,29894.0,29894.0,29894.0,30105.0,30105.0,0
2017-12-12,29897.0,29897.0,29877.0,29888.0,29888.0,0
2017-12-13,29879.0,29886.0,29879.0,29851.0,29851.0,0
2017-12-14,29770.0,30025.0,29770.0,29780.0,29780.0,0
2017-12-15,30170.0,30170.0,29961.0,30183.0,30183.0,0
2017-12-18,29948.0,29948.0,29928.0,29933.0,29933.0,0
2017-12-19,29944.0,29944.0,29895.0,29972.0,29972.0,0
2017-12-20,29886.0,29968.0,29886.0,29879.0,29879.0,0
2017-12-21,29817.0,29893.0,29817.0,29837.0,29837.0,0
2017-12-22,29986.0,29986.0,29949.0,29943.0,29943.0,0
2017-12-25,29938.0,29938.0,29905.0,29853.0,29853.0,0
2017-12-26,29853.0,29853.0,29853.0,29895.0,29895.0,0
2017-12-27,29895.0,30003.0,29895.0,29903.0,29903.0,0
2017-12-28,29972.0,30063.0,29972.0,29983.0,29983.0,0
2017-12-29,30073.0,30234.0,30073.0,30073.0,30073.0,0
2018-01-01,30181.0,30181.0,30181.0,30225.0,30225.0,0
2018-01-02,30181.0,30341.0,30157.0,30181.0,30181.0,0
2018-01-03,30426.0,30426.0,30332.0,30421.0,30421.0,0
2018-01-04,30241.0,30338.0,30241.0,30241.0,30241.0,0
2018-01-05,30317.0,30327.0,30317.0,30301.0,30301.0,0
2018-01-08,30395.0,30414.0,30303.0,30438.0,30438.0,0
2018-01-09,30394.0,30394.0,30284.0,30404.0,30404.0,0
2018-01-10,30256.0,30320.0,30114.0,30271.0,30271.0,0
2018-01-11,30349.0,30349.0,30114.0,30370.0,30370.0,0
2018-01-12,30045.0,30497.0,30045.0,30062.0,30062.0,0
2018-01-15,30579.0,30808.0,30531.0,30532.0,30532.0,0
2018-01-16,30866.0,30866.0,30761.0,30828.0,30828.0,0
2018-01-17,30715.0,30863.0,30715.0,30771.0,30771.0,0
2018-01-18,30978.0,31069.0,30978.0,30996.0,30996.0,0
2018-01-19,31111.0,31111.0,31099.0,31099.0,31099.0,0
2018-01-22,31189.0,31189.0,31134.0,31093.0,31093.0,0
2018-01-23,31276.0,31276.0,31172.0,31134.0,31134.0,0
2018-01-24,31187.0,31684.0,31187.0,31172.0,31172.0,0
2018-01-25,31697.0,31914.0,31697.0,31684.0,31684.0,0
2018-01-26,31703.0,31890.0,31703.0,31914.0,31914.0,0
2018-01-29,31715.0,31715.0,31493.0,31890.0,31890.0,0
2018-01-30,31530.0,31649.0,31530.0,31493.0,31493.0,0
2018-01-31,31751.0,31751.0,31712.0,31649.0,31649.0,0
2018-02-01,31889.0,31889.0,31801.0,31730.0,31730.0,0
2018-02-02,31763.0,31853.0,31763.0,31801.0,31801.0,0
2018-02-05,31698.0,31698.0,31477.0,31853.0,31853.0,0
2018-02-06,31436.0,31436.0,31192.0,31477.0,31477.0,0
2018-02-07,31212.0,31212.0,31088.0,31192.0,31192.0,0
2018-02-08,31261.0,31276.0,31261.0,31149.0,31149.0,0
2018-02-09,31108.0,31108.0,30926.0,31276.0,31276.0,0
2018-02-12,30900.0,31021.0,30900.0,30926.0,30926.0,0
2018-02-13,30923.0,31131.0,30923.0,31021.0,31021.0,0
2018-02-14,31065.0,31065.0,31014.0,31131.0,31131.0,0
2018-02-15,31069.0,31468.0,31069.0,31014.0,31014.0,0
2018-02-16,31484.0,31484.0,31475.0,31468.0,31468.0,0
2018-02-19,31584.0,31584.0,31391.0,31475.0,31475.0,0
2018-02-20,31365.0,31365.0,31280.0,31391.0,31391.0,0
2018-02-21,31359.0,31359.0,31176.0,31280.0,31280.0,0
2018-02-22,31247.0,31247.0,31100.0,31176.0,31176.0,0
2018-02-23,31158.0,31366.0,31158.0,31100.0,31100.0,0
2018-02-26,31362.0,31472.0,31362.0,31331.0,31331.0,0
2018-02-27,31324.0,31324.0,31258.0,31472.0,31472.0,0
2018-02-28,31396.0,31396.0,31046.0,31258.0,31258.0,0
2018-03-01,30917.0,30917.0,30820.0,31046.0,31046.0,0
2018-03-02,30671.0,30932.0,30671.0,30820.0,30820.0,0
2018-03-05,30895.0,31006.0,30895.0,30867.0,30867.0,0
2018-03-06,30968.0,31214.0,30968.0,31006.0,31006.0,0
2018-03-07,31141.0,31141.0,31093.0,31214.0,31214.0,0
2018-03-08,31192.0,31192.0,31107.0,31093.0,31093.0,0
2018-03-09,31134.0,31134.0,31010.0,31107.0,31107.0,0
2018-03-12,31037.0,31102.0,31037.0,31010.0,31010.0,0
2018-03-13,31076.0,31175.0,31076.0,31102.0,31102.0,0
2018-03-14,31212.0,31373.0,31212.0,31175.0,31175.0,0
2018-03-15,31358.0,31358.0,31275.0,31373.0,31373.0,0
2018-03-16,31372.0,31372.0,31357.0,31275.0,31275.0,0
2018-03-19,31369.0,31494.0,31369.0,31357.0,31357.0,0
2018-03-20,31351.0,31437.0,31351.0,31494.0,31494.0,0
2018-03-21,31554.0,31554.0,31538.0,31437.0,31437.0,0
2018-03-22,31569.0,31831.0,31569.0,31538.0,31538.0,0
2018-03-23,31700.0,31749.0,31700.0,31831.0,31831.0,0
2018-03-26,31777.0,31950.0,31777.0,31735.0,31735.0,0
2018-03-27,31883.0,31883.0,31738.0,31950.0,31950.0,0
2018-03-28,31884.0,31884.0,31833.0,31738.0,31738.0,0
2018-03-29,31881.0,31881.0,31617.0,31833.0,31833.0,0
2018-03-30,31569.0,31591.0,31569.0,31617.0,31617.0,0
2018-04-02,31569.0,31569.0,31569.0,31417.0,31417.0,0
2018-04-03,31660.0,31660.0,31540.0,31569.0,31569.0,0
2018-04-04,31656.0,31656.0,31580.0,31540.0,31540.0,0
2018-04-05,31677.0,31677.0,31636.0,31580.0,31580.0,0
2018-04-06,31574.0,31574.0,31498.0,31636.0,31636.0,0
2018-04-09,31574.0,31681.0,31574.0,31498.0,31498.0,0
2018-04-10,31628.0,31806.0,31623.0,31611.0,31611.0,0
2018-04-11,31764.0,31874.0,31764.0,31806.0,31806.0,0
2018-04-12,31877.0,31884.0,31877.0,31874.0,31874.0,0
2018-04-13,32007.0,32077.0,32007.0,31884.0,31884.0,0
2018-04-16,31971.0,32104.0,31971.0,32077.0,32077.0,0
2018-04-17,32149.0,32173.0,32149.0,32104.0,32104.0,0
2018-04-18,32092.0,32092.0,31888.0,32173.0,32173.0,0
2018-04-19,31870.0,31937.0,31870.0,31888.0,31888.0,0
2018-04-20,31683.0,31683.0,31580.0,31937.0,31937.0,0
2018-04-23,31459.0,31459.0,31320.0,31585.0,31585.0,0
2018-04-24,31329.0,31329.0,31303.0,31320.0,31320.0,0
2018-04-25,31334.0,31334.0,31313.0,31303.0,31303.0,0
2018-04-26,31352.0,31352.0,31342.0,31313.0,31313.0,0
2018-04-27,31424.0,31424.0,30871.0,31342.0,31342.0,0
2018-04-30,30810.0,30810.0,30808.0,30871.0,30871.0,0
2018-05-01,30928.0,30930.0,30928.0,30808.0,30808.0,0
2018-05-02,30796.0,30796.0,30626.0,30930.0,30930.0,0
2018-05-03,30570.0,30570.0,30473.0,30626.0,30626.0,0
2018-05-04,30421.0,30446.0,30421.0,30473.0,30473.0,0
